Years,x1_5_hr,rank,Probability,Frequency
"2009-2010",27,1,8.33333333333333,12
"2002-2003",21.6666666666667,2,16.6666666666667,6
"2005-2006",21.4,3,25,4
"2010-2011",20.2,4,33.3333333333333,3
"2008-2009",16.1333333333333,5,41.6666666666667,2.4
"2001-2002",15.2,6,50,2
"2004-2005",13.3333333333333,7,58.3333333333333,1.71428571428571
"2007-2008",13.2,8,66.6666666666667,1.5
"2003-2004",11.4,9,75,1.33333333333333
"2000-2001",10.0666666666667,10,83.3333333333333,1.2
"2006-2007",7.46666666666667,11,91.6666666666667,1.09090909090909
