Years,x1_5_hr,rank,Probability,Frequency
"2002-2003",13.4,1,6.25,16
"1994-1995",11.2666666666667,2,12.5,8
"1993-1994",10.2666666666667,3,18.75,5.33333333333333
"2000-2001",9.93333333333333,4,25,4
"1997-1998",9.53333333333333,5,31.25,3.2
"2005-2006",8.66666666666667,6,37.5,2.66666666666667
"2006-2007",7.6,7,43.75,2.28571428571429
"2007-2008",7.26666666666667,8,50,2
"1996-1997",7.2,9,56.25,1.77777777777778
"2001-2002",7.2,10,62.5,1.6
"2003-2004",6.53333333333333,11,68.75,1.45454545454545
"1998-1999",6.46666666666667,12,75,1.33333333333333
"1999-2000",6.33333333333333,13,81.25,1.23076923076923
"1995-1996",5.93333333333333,14,87.5,1.14285714285714
"2004-2005",4.8,15,93.75,1.06666666666667
