Years,x20_min,rank,Probability,Frequency
"2021-2022",36.9,1,6.25,16
"2020-2021",33.3,2,12.5,8
"2017-2018",27.9,3,18.75,5.33333333333333
"2014-2015",27,4,25,4
"2009-2010",23.1,5,31.25,3.2
"2013-2014",21.6,6,37.5,2.66666666666667
"2015-2016",20.1,7,43.75,2.28571428571429
"2019-2020",18.6,8,50,2
"2011-2012",15.3,9,56.25,1.77777777777778
"2018-2019",15,10,62.5,1.6
"2008-2009",14.1,11,68.75,1.45454545454545
"2007-2008",12.6,12,75,1.33333333333333
"2010-2011",11.4,13,81.25,1.23076923076923
"2012-2013",10.2,14,87.5,1.14285714285714
"2016-2017",10.2,15,93.75,1.06666666666667
