Years,x2_5_hr,rank,Probability,Frequency
"2002-2003",10.08,1,6.25,16
"1993-1994",7.48,2,12.5,8
"1997-1998",7.04,3,18.75,5.33333333333333
"1994-1995",6.76,4,25,4
"2005-2006",6.32,5,31.25,3.2
"2001-2002",6.08,6,37.5,2.66666666666667
"2000-2001",5.96,7,43.75,2.28571428571429
"1996-1997",5.92,8,50,2
"1995-1996",5.76,9,56.25,1.77777777777778
"1998-1999",5.24,10,62.5,1.6
"1999-2000",5.16,11,68.75,1.45454545454545
"2003-2004",4.84,12,75,1.33333333333333
"2006-2007",4.56,13,81.25,1.23076923076923
"2007-2008",4.36,14,87.5,1.14285714285714
"2004-2005",3.56,15,93.75,1.06666666666667
