Years,x4_hr,rank,Probability,Frequency
"2011-2012",16.675,1,6.25,16
"2013-2014",13.25,2,12.5,8
"2020-2021",13.2,3,18.75,5.33333333333333
"2017-2018",12.15,4,25,4
"2010-2011",8.775,5,31.25,3.2
"2021-2022",8.725,6,37.5,2.66666666666667
"2012-2013",8.625,7,43.75,2.28571428571429
"2018-2019",8.5,8,50,2
"2014-2015",7.9,9,56.25,1.77777777777778
"2019-2020",7.25,10,62.5,1.6
"2016-2017",6.95,11,68.75,1.45454545454545
"2008-2009",6.1,12,75,1.33333333333333
"2007-2008",5.525,13,81.25,1.23076923076923
"2015-2016",5.425,14,87.5,1.14285714285714
"2009-2010",5.35,15,93.75,1.06666666666667
