Years,x10_min,rank,Probability,Frequency
"2018-2019",115.2,1,5,20
"2017-2018",79.8,2,10,10
"2012-2013",66,3,15,6.66666666666667
"2008-2009",54.6,4,20,5
"2013-2014",54,5,25,4
"2015-2016",46.8,6,30,3.33333333333333
"2011-2012",46.2,7,35,2.85714285714286
"2009-2010",45.6,8,40,2.5
"2014-2015",44.4,9,45,2.22222222222222
"2020-2021",40.2,10,50,2
"2019-2020",39.6,11,55,1.81818181818182
"2006-2007",37.2,12,60,1.66666666666667
"2004-2005",33.6,13,65,1.53846153846154
"2005-2006",30,14,70,1.42857142857143
"2007-2008",29.4,15,75,1.33333333333333
"2021-2022",28.8,16,80,1.25
"2003-2004",25.8,17,85,1.17647058823529
"2016-2017",24.6,18,90,1.11111111111111
"2010-2011",21,19,95,1.05263157894737
