Years,x1_hr,rank,Probability,Frequency
"2020-2021",17.7,1,6.25,16
"2013-2014",17.4,2,12.5,8
"2021-2022",17.1,3,18.75,5.33333333333333
"2015-2016",12.2,4,25,4
"2017-2018",10.8,5,31.25,3.2
"2014-2015",10.2,6,37.5,2.66666666666667
"2009-2010",10,7,43.75,2.28571428571429
"2018-2019",9.7,8,50,2
"2008-2009",8.5,9,56.25,1.77777777777778
"2019-2020",8,10,62.5,1.6
"2011-2012",7.6,11,68.75,1.45454545454545
"2007-2008",7.5,12,75,1.33333333333333
"2012-2013",7.5,13,81.25,1.23076923076923
"2010-2011",7.1,14,87.5,1.14285714285714
"2016-2017",7.1,15,93.75,1.06666666666667
