Years,x1_5_hr,rank,Probability,Frequency
"2009-2010",16.4666666666667,1,6.25,16
"2008-2009",14.4666666666667,2,12.5,8
"2013-2014",11.6,3,18.75,5.33333333333333
"2017-2018",10.9333333333333,4,25,4
"2018-2019",10.7333333333333,5,31.25,3.2
"2012-2013",9.6,6,37.5,2.66666666666667
"2020-2021",9.4,7,43.75,2.28571428571429
"2019-2020",9.26666666666667,8,50,2
"2014-2015",8.86666666666667,9,56.25,1.77777777777778
"2011-2012",8.8,10,62.5,1.6
"2016-2017",8.6,11,68.75,1.45454545454545
"2015-2016",8.33333333333333,12,75,1.33333333333333
"2007-2008",8.06666666666667,13,81.25,1.23076923076923
"2010-2011",7.4,14,87.5,1.14285714285714
"2021-2022",7.33333333333333,15,93.75,1.06666666666667
