Years,x4_hr,rank,Probability,Frequency
"2006-2007",9.45,1,5,20
"2009-2010",7.2,2,10,10
"2008-2009",4.7,3,15,6.66666666666667
"2012-2013",4.525,4,20,5
"2019-2020",4.275,5,25,4
"2021-2022",4.025,6,30,3.33333333333333
"2015-2016",3.425,7,35,2.85714285714286
"2011-2012",3.15,8,40,2.5
"2003-2004",2.75,9,45,2.22222222222222
"2018-2019",2.75,10,50,2
"2013-2014",2.7,11,55,1.81818181818182
"2014-2015",2.6,12,60,1.66666666666667
"2005-2006",2.5,13,65,1.53846153846154
"2007-2008",2.45,14,70,1.42857142857143
"2017-2018",2.4,15,75,1.33333333333333
"2004-2005",2.1,16,80,1.25
"2016-2017",1.675,17,85,1.17647058823529
"2010-2011",1.65,18,90,1.11111111111111
"2020-2021",1.475,19,95,1.05263157894737
