Years,x3_5_hr,rank,Probability,Frequency
"2009-2010",11.5142857142857,1,6.25,16
"2019-2020",10.3142857142857,2,12.5,8
"2008-2009",9.2,3,18.75,5.33333333333333
"2018-2019",8.51428571428571,4,25,4
"2017-2018",8.22857142857143,5,31.25,3.2
"2012-2013",7.94285714285714,6,37.5,2.66666666666667
"2016-2017",7.74285714285714,7,43.75,2.28571428571429
"2015-2016",7.65714285714286,8,50,2
"2014-2015",7.42857142857143,9,56.25,1.77777777777778
"2020-2021",7.37142857142857,10,62.5,1.6
"2007-2008",7.22857142857143,11,68.75,1.45454545454545
"2011-2012",6.77142857142857,12,75,1.33333333333333
"2010-2011",6.68571428571429,13,81.25,1.23076923076923
"2021-2022",6.17142857142857,14,87.5,1.14285714285714
"2013-2014",5.8,15,93.75,1.06666666666667
