Years,x50_min,rank,Probability,Frequency
"2009-2010",24.24,1,5,20
"2006-2007",23.04,2,10,10
"2011-2012",15.12,3,15,6.66666666666667
"2018-2019",13.2,4,20,5
"2007-2008",9.72,5,25,4
"2021-2022",9.6,6,30,3.33333333333333
"2012-2013",8.64,7,35,2.85714285714286
"2019-2020",8.4,8,40,2.5
"2008-2009",8.28,9,45,2.22222222222222
"2013-2014",7.92,10,50,2
"2005-2006",7.2,11,55,1.81818181818182
"2020-2021",6.96,12,60,1.66666666666667
"2017-2018",6.36,13,65,1.53846153846154
"2015-2016",6.12,14,70,1.42857142857143
"2014-2015",5.64,15,75,1.33333333333333
"2010-2011",5.16,16,80,1.25
"2003-2004",5.16,17,85,1.17647058823529
"2016-2017",5.04,18,90,1.11111111111111
"2004-2005",4.2,19,95,1.05263157894737
