Years,x2_hr,rank,Probability,Frequency
"2019-2020",10.7,1,6.66666666666667,15
"2013-2014",8.95,2,13.3333333333333,7.5
"2009-2010",6.85,3,20,5
"2016-2017",6.75,4,26.6666666666667,3.75
"2015-2016",4.75,5,33.3333333333333,3
"2018-2019",3.7,6,40,2.5
"2017-2018",3.65,7,46.6666666666667,2.14285714285714
"2021-2022",3.6,8,53.3333333333333,1.875
"2014-2015",2.8,9,60,1.66666666666667
"2020-2021",2.15,10,66.6666666666667,1.5
"2012-2013",1.65,11,73.3333333333333,1.36363636363636
"2007-2008",1.3,12,80,1.25
"2010-2011",0.75,13,86.6666666666667,1.15384615384615
"2008-2009",0.45,14,93.3333333333333,1.07142857142857
