Years,x40_min,rank,Probability,Frequency
"2011-2012",49.2,1,5.55555555555556,18
"2012-2013",30,2,11.1111111111111,9
"2019-2020",28.05,3,16.6666666666667,6
"2005-2006",25.8,4,22.2222222222222,4.5
"2015-2016",24.9,5,27.7777777777778,3.6
"2017-2018",23.55,6,33.3333333333333,3
"2014-2015",22.05,7,38.8888888888889,2.57142857142857
"2018-2019",17.55,8,44.4444444444444,2.25
"2009-2010",16.35,9,50,2
"2021-2022",16.05,10,55.5555555555556,1.8
"2013-2014",15.15,11,61.1111111111111,1.63636363636364
"2010-2011",14.55,12,66.6666666666667,1.5
"2006-2007",13.95,13,72.2222222222222,1.38461538461538
"2007-2008",13.5,14,77.7777777777778,1.28571428571429
"2020-2021",11.85,15,83.3333333333333,1.2
"2008-2009",11.55,16,88.8888888888889,1.125
"2016-2017",10.5,17,94.4444444444444,1.05882352941176
