Years,x2_5_hr,rank,Probability,Frequency
"2015-2016",11.72,1,6.25,16
"2018-2019",6.12,2,12.5,8
"2010-2011",5.88,3,18.75,5.33333333333333
"2019-2020",5.76,4,25,4
"2017-2018",5.24,5,31.25,3.2
"2013-2014",4.52,6,37.5,2.66666666666667
"2009-2010",3.92,7,43.75,2.28571428571429
"2021-2022",3.76,8,50,2
"2014-2015",3.24,9,56.25,1.77777777777778
"2020-2021",3.16,10,62.5,1.6
"2012-2013",3.08,11,68.75,1.45454545454545
"2007-2008",2.72,12,75,1.33333333333333
"2008-2009",2.44,13,81.25,1.23076923076923
"2016-2017",2.4,14,87.5,1.14285714285714
"2011-2012",2.24,15,93.75,1.06666666666667
