Years,x6_hr,rank,Probability,Frequency
"2015-2016",4.88333333333333,1,6.25,16
"2013-2014",3.43333333333333,2,12.5,8
"2009-2010",2.7,3,18.75,5.33333333333333
"2018-2019",2.68333333333333,4,25,4
"2021-2022",2.6,5,31.25,3.2
"2010-2011",2.46666666666667,6,37.5,2.66666666666667
"2019-2020",2.46666666666667,7,43.75,2.28571428571429
"2017-2018",2.18333333333333,8,50,2
"2014-2015",1.71666666666667,9,56.25,1.77777777777778
"2008-2009",1.51666666666667,10,62.5,1.6
"2020-2021",1.5,11,68.75,1.45454545454545
"2007-2008",1.4,12,75,1.33333333333333
"2011-2012",1.4,13,81.25,1.23076923076923
"2012-2013",1.28333333333333,14,87.5,1.14285714285714
"2016-2017",1,15,93.75,1.06666666666667
