Years,x5_hr,rank,Probability,Frequency
"2013-2014",13.38,1,6.25,16
"2011-2012",13.34,2,12.5,8
"2020-2021",10.66,3,18.75,5.33333333333333
"2017-2018",9.72,4,25,4
"2010-2011",8.62,5,31.25,3.2
"2018-2019",7.76,6,37.5,2.66666666666667
"2021-2022",7.46,7,43.75,2.28571428571429
"2012-2013",6.98,8,50,2
"2014-2015",6.74,9,56.25,1.77777777777778
"2009-2010",6.58,10,62.5,1.6
"2019-2020",6.46,11,68.75,1.45454545454545
"2008-2009",5.8,12,75,1.33333333333333
"2016-2017",5.56,13,81.25,1.23076923076923
"2007-2008",4.7,14,87.5,1.14285714285714
"2015-2016",4.4,15,93.75,1.06666666666667
