Years,x2_hr,rank,Probability,Frequency
"2017-2018",27.45,1,6.25,16
"2012-2013",22.85,2,12.5,8
"2019-2020",21.5,3,18.75,5.33333333333333
"2020-2021",20.65,4,25,4
"2011-2012",19.7,5,31.25,3.2
"2010-2011",19.6,6,37.5,2.66666666666667
"2007-2008",17.7,7,43.75,2.28571428571429
"2018-2019",17,8,50,2
"2008-2009",16.1,9,56.25,1.77777777777778
"2009-2010",15.5,10,62.5,1.6
"2021-2022",15.35,11,68.75,1.45454545454545
"2016-2017",14.8,12,75,1.33333333333333
"2014-2015",14.4,13,81.25,1.23076923076923
"2015-2016",13.65,14,87.5,1.14285714285714
"2013-2014",7.4,15,93.75,1.06666666666667
