Years,x40_min,rank,Probability,Frequency
"2015-2016",43.8,1,6.25,16
"2010-2011",16.35,2,12.5,8
"2013-2014",15,3,18.75,5.33333333333333
"2019-2020",14.55,4,25,4
"2017-2018",11.55,5,31.25,3.2
"2012-2013",10.8,6,37.5,2.66666666666667
"2009-2010",10.65,7,43.75,2.28571428571429
"2018-2019",10.05,8,50,2
"2014-2015",9.15,9,56.25,1.77777777777778
"2008-2009",8.85,10,62.5,1.6
"2016-2017",6.15,11,68.75,1.45454545454545
"2007-2008",6,12,75,1.33333333333333
"2011-2012",5.55,13,81.25,1.23076923076923
"2021-2022",5.55,14,87.5,1.14285714285714
"2020-2021",5.4,15,93.75,1.06666666666667
