Years,x6_hr,rank,Probability,Frequency
"2010-2011",9.18333333333333,1,16.6666666666667,6
"2008-2009",8.4,2,33.3333333333333,3
"2009-2010",7.01666666666667,3,50,2
"2011-2012",5.01666666666667,4,66.6666666666667,1.5
"2007-2008",4.65,5,83.3333333333333,1.2
