Years,x1_hr,rank,Probability,Frequency
"2002-2003",19,1,6.25,16
"1994-1995",15.8,2,12.5,8
"2000-2001",14.9,3,18.75,5.33333333333333
"1997-1998",12.4,4,25,4
"2005-2006",12.3,5,31.25,3.2
"2006-2007",11.4,6,37.5,2.66666666666667
"1993-1994",11.3,7,43.75,2.28571428571429
"2007-2008",10.9,8,50,2
"1996-1997",10.7,9,56.25,1.77777777777778
"2003-2004",9.1,10,62.5,1.6
"2001-2002",8.1,11,68.75,1.45454545454545
"1998-1999",7.4,12,75,1.33333333333333
"1995-1996",7.125,13,81.25,1.23076923076923
"1999-2000",6.5,14,87.5,1.14285714285714
"2004-2005",5.8,15,93.75,1.06666666666667
