Years,x2_hr,rank,Probability,Frequency
"2005-2006",16.3,1,4.76190476190476,21
"2008-2009",14.85,2,9.52380952380952,10.5
"2016-2017",9.5,3,14.2857142857143,7
"2004-2005",9.25,4,19.047619047619,5.25
"2017-2018",8.85,5,23.8095238095238,4.2
"2021-2022",8.5,6,28.5714285714286,3.5
"2002-2003",8.4,7,33.3333333333333,3
"2018-2019",8.05,8,38.0952380952381,2.625
"2003-2004",7.85,9,42.8571428571429,2.33333333333333
"2009-2010",7.8,10,47.6190476190476,2.1
"2014-2015",7.75,11,52.3809523809524,1.90909090909091
"2012-2013",7.7,12,57.1428571428571,1.75
"2020-2021",7.6,13,61.9047619047619,1.61538461538462
"2007-2008",7.25,14,66.6666666666667,1.5
"2010-2011",6.55,15,71.4285714285714,1.4
"2006-2007",6.4,16,76.1904761904762,1.3125
"2011-2012",6.3,17,80.9523809523809,1.23529411764706
"2019-2020",6.15,18,85.7142857142857,1.16666666666667
"2013-2014",5.75,19,90.4761904761905,1.10526315789474
"2015-2016",4.7,20,95.2380952380952,1.05
