Years,x1_5_hr,rank,Probability,Frequency
"2017-2018",36.6,1,6.25,16
"2019-2020",28.4,2,12.5,8
"2012-2013",26.4,3,18.75,5.33333333333333
"2010-2011",23.8666666666667,4,25,4
"2020-2021",23.7333333333333,5,31.25,3.2
"2011-2012",23.4666666666667,6,37.5,2.66666666666667
"2007-2008",22.1333333333333,7,43.75,2.28571428571429
"2008-2009",21.3333333333333,8,50,2
"2009-2010",20.6666666666667,9,56.25,1.77777777777778
"2016-2017",19.6,10,62.5,1.6
"2018-2019",18.8,11,68.75,1.45454545454545
"2021-2022",18.1333333333333,12,75,1.33333333333333
"2015-2016",18,13,81.25,1.23076923076923
"2014-2015",16.2666666666667,14,87.5,1.14285714285714
"2013-2014",9.86666666666667,15,93.75,1.06666666666667
