Years,x2_hr,rank,Probability,Frequency
"2008-2009",16.05,1,6.25,16
"2009-2010",15.35,2,12.5,8
"2017-2018",14.2,3,18.75,5.33333333333333
"2015-2016",13.35,4,25,4
"2018-2019",13.2,5,31.25,3.2
"2019-2020",12.4,6,37.5,2.66666666666667
"2016-2017",12.05,7,43.75,2.28571428571429
"2012-2013",11.7,8,50,2
"2020-2021",11.1,9,56.25,1.77777777777778
"2014-2015",10.95,10,62.5,1.6
"2013-2014",8.95,11,68.75,1.45454545454545
"2007-2008",8.7,12,75,1.33333333333333
"2011-2012",8.25,13,81.25,1.23076923076923
"2021-2022",7.6,14,87.5,1.14285714285714
"2010-2011",7.1,15,93.75,1.06666666666667
