Years,x4_hr,rank,Probability,Frequency
"2016-2017",6.15,1,4.76190476190476,21
"2012-2013",4.125,2,9.52380952380952,10.5
"2009-2010",3.525,3,14.2857142857143,7
"2017-2018",2.9,4,19.047619047619,5.25
"2019-2020",2.725,5,23.8095238095238,4.2
"2021-2022",2.7,6,28.5714285714286,3.5
"2013-2014",2.175,7,33.3333333333333,3
"2003-2004",1.725,8,38.0952380952381,2.625
"2020-2021",1.725,9,42.8571428571429,2.33333333333333
"2006-2007",1.625,10,47.6190476190476,2.1
"2015-2016",1.6,11,52.3809523809524,1.90909090909091
"2018-2019",1.4,12,57.1428571428571,1.75
"2010-2011",1.225,13,61.9047619047619,1.61538461538462
"2002-2003",1,14,66.6666666666667,1.5
"2014-2015",0.6,15,71.4285714285714,1.4
"2005-2006",0.4,16,76.1904761904762,1.3125
"2008-2009",0.4,17,80.9523809523809,1.23529411764706
"2004-2005",0.325,18,85.7142857142857,1.16666666666667
"2011-2012",0.325,19,90.4761904761905,1.10526315789474
"2007-2008",0.175,20,95.2380952380952,1.05
