Years,x10_min,rank,Probability,Frequency
"2013-2014",67.8,1,6.66666666666667,15
"2016-2017",63.6,2,13.3333333333333,7.5
"2019-2020",41.4,3,20,5
"2015-2016",26.4,4,26.6666666666667,3.75
"2017-2018",26.4,5,33.3333333333333,3
"2020-2021",19.8,6,40,2.5
"2014-2015",16.8,7,46.6666666666667,2.14285714285714
"2018-2019",13.8,8,53.3333333333333,1.875
"2009-2010",13.2,9,60,1.66666666666667
"2012-2013",9.6,10,66.6666666666667,1.5
"2021-2022",9,11,73.3333333333333,1.36363636363636
"2010-2011",7.2,12,80,1.25
"2007-2008",6,13,86.6666666666667,1.15384615384615
"2008-2009",2.4,14,93.3333333333333,1.07142857142857
