Years,x4_hr,rank,Probability,Frequency
"2009-2010",10.425,1,6.25,16
"2019-2020",9.925,2,12.5,8
"2008-2009",8.05,3,18.75,5.33333333333333
"2018-2019",7.925,4,25,4
"2012-2013",7.725,5,31.25,3.2
"2017-2018",7.25,6,37.5,2.66666666666667
"2007-2008",7.1,7,43.75,2.28571428571429
"2016-2017",7.025,8,50,2
"2015-2016",6.7,9,56.25,1.77777777777778
"2020-2021",6.7,10,62.5,1.6
"2010-2011",6.575,11,68.75,1.45454545454545
"2014-2015",6.5,12,75,1.33333333333333
"2011-2012",6.375,13,81.25,1.23076923076923
"2021-2022",5.525,14,87.5,1.14285714285714
"2013-2014",5.175,15,93.75,1.06666666666667
