Years,x40_min,rank,Probability,Frequency
"2004-2005",61.95,1,4,25
"2008-2009",31.5,2,8,12.5
"2020-2021",23.4,3,12,8.33333333333333
"2016-2017",16.95,4,16,6.25
"2013-2014",14.4,5,20,5
"2015-2016",13.8,6,24,4.16666666666667
"2000-2001",13.05,7,28,3.57142857142857
"2017-2018",10.05,8,32,3.125
"2019-2020",9.9,9,36,2.77777777777778
"2001-2002",9.3,10,40,2.5
"2005-2006",8.25,11,44,2.27272727272727
"2006-2007",8.25,12,48,2.08333333333333
"2003-2004",7.5,13,52,1.92307692307692
"1998-1999",7.35,14,56,1.78571428571429
"2009-2010",6.75,15,60,1.66666666666667
"2012-2013",5.7,16,64,1.5625
"2018-2019",5.55,17,68,1.47058823529412
"2007-2008",5.4,18,72,1.38888888888889
"2010-2011",5.4,19,76,1.31578947368421
"2002-2003",4.65,20,80,1.25
"2021-2022",4.35,21,84,1.19047619047619
"2014-2015",3.45,22,88,1.13636363636364
"2011-2012",3,23,92,1.08695652173913
"1999-2000",1.95,24,96,1.04166666666667
