Years,x30_min,rank,Probability,Frequency
"2019-2020",61.4,1,6.25,16
"2016-2017",55.8,2,12.5,8
"2007-2008",48.6,3,18.75,5.33333333333333
"2009-2010",47.6,4,25,4
"2017-2018",47.2,5,31.25,3.2
"2012-2013",46.2,6,37.5,2.66666666666667
"2010-2011",42.8,7,43.75,2.28571428571429
"2015-2016",42,8,50,2
"2020-2021",40.8,9,56.25,1.77777777777778
"2011-2012",35.4,10,62.5,1.6
"2008-2009",29.4,11,68.75,1.45454545454545
"2013-2014",28,12,75,1.33333333333333
"2014-2015",27.8,13,81.25,1.23076923076923
"2018-2019",26.8,14,87.5,1.14285714285714
"2021-2022",26.4,15,93.75,1.06666666666667
