Years,x50_min,rank,Probability,Frequency
"2017-2018",34.08,1,5.55555555555556,18
"2008-2009",23.28,2,11.1111111111111,9
"2018-2019",16.92,3,16.6666666666667,6
"2015-2016",16.68,4,22.2222222222222,4.5
"2011-2012",16.44,5,27.7777777777778,3.6
"2006-2007",13.68,6,33.3333333333333,3
"2007-2008",13.08,7,38.8888888888889,2.57142857142857
"2019-2020",12.36,8,44.4444444444444,2.25
"2012-2013",12,9,50,2
"2009-2010",11.52,10,55.5555555555556,1.8
"2016-2017",11.28,11,61.1111111111111,1.63636363636364
"2021-2022",11.28,12,66.6666666666667,1.5
"2010-2011",11.04,13,72.2222222222222,1.38461538461538
"2014-2015",10.92,14,77.7777777777778,1.28571428571429
"1993-1994",10.2,15,83.3333333333333,1.2
"2020-2021",9.36,16,88.8888888888889,1.125
"2013-2014",9,17,94.4444444444444,1.05882352941176
