Years,x4_hr,rank,Probability,Frequency
"2009-2010",10.175,1,6.25,16
"2014-2015",8.05,2,12.5,8
"2021-2022",8,3,18.75,5.33333333333333
"2020-2021",7.375,4,25,4
"2016-2017",7.25,5,31.25,3.2
"2012-2013",7.15,6,37.5,2.66666666666667
"2013-2014",7,7,43.75,2.28571428571429
"2010-2011",6.85,8,50,2
"2015-2016",6.5,9,56.25,1.77777777777778
"2008-2009",6.225,10,62.5,1.6
"2018-2019",6.1,11,68.75,1.45454545454545
"2019-2020",5.925,12,75,1.33333333333333
"2007-2008",5.825,13,81.25,1.23076923076923
"2011-2012",5.8,14,87.5,1.14285714285714
"2017-2018",5.05,15,93.75,1.06666666666667
