Years,x50_min,rank,Probability,Frequency
"2004-2005",50.52,1,4,25
"2008-2009",25.44,2,8,12.5
"2020-2021",18.84,3,12,8.33333333333333
"2013-2014",14.28,4,16,6.25
"2016-2017",13.68,5,20,5
"2015-2016",12.6,6,24,4.16666666666667
"2000-2001",10.68,7,28,3.57142857142857
"2017-2018",9.12,8,32,3.125
"2019-2020",9,9,36,2.77777777777778
"2001-2002",7.92,10,40,2.5
"1998-1999",6.72,11,44,2.27272727272727
"2005-2006",6.72,12,48,2.08333333333333
"2009-2010",6.6,13,52,1.92307692307692
"2006-2007",6.6,14,56,1.78571428571429
"2003-2004",6.24,15,60,1.66666666666667
"2018-2019",5.04,16,64,1.5625
"2010-2011",4.8,17,68,1.47058823529412
"2012-2013",4.56,18,72,1.38888888888889
"2007-2008",4.32,19,76,1.31578947368421
"2002-2003",3.84,20,80,1.25
"2021-2022",3.72,21,84,1.19047619047619
"2014-2015",3.48,22,88,1.13636363636364
"2011-2012",3.24,23,92,1.08695652173913
"1999-2000",1.56,24,96,1.04166666666667
