Years,x6_hr,rank,Probability,Frequency
"2012-2013",7.35,1,8.33333333333333,12
"2019-2020",6.96666666666667,2,16.6666666666667,6
"2011-2012",6.4,3,25,4
"2014-2015",5.9,4,33.3333333333333,3
"2017-2018",5.68333333333333,5,41.6666666666667,2.4
"2020-2021",5.16666666666667,6,50,2
"2016-2017",5.08333333333333,7,58.3333333333333,1.71428571428571
"2018-2019",4.91666666666667,8,66.6666666666667,1.5
"2013-2014",4.81666666666667,9,75,1.33333333333333
"2015-2016",4.31666666666667,10,83.3333333333333,1.2
"2021-2022",3.86666666666667,11,91.6666666666667,1.09090909090909
