Years,x4_5_hr,rank,Probability,Frequency
"2014-2015",3.64444444444444,1,5.88235294117647,17
"2009-2010",3.6,2,11.7647058823529,8.5
"2012-2013",3.4,3,17.6470588235294,5.66666666666667
"2013-2014",3.04444444444444,4,23.5294117647059,4.25
"2008-2009",2.66666666666667,5,29.4117647058824,3.4
"2019-2020",2.42222222222222,6,35.2941176470588,2.83333333333333
"2007-2008",2.35555555555556,7,41.1764705882353,2.42857142857143
"2015-2016",2.17777777777778,8,47.0588235294118,2.125
"2018-2019",2.15555555555556,9,52.9411764705882,1.88888888888889
"2006-2007",1.64444444444444,10,58.8235294117647,1.7
"2010-2011",1.48888888888889,11,64.7058823529412,1.54545454545455
"2020-2021",1.33333333333333,12,70.5882352941177,1.41666666666667
"2011-2012",1.11111111111111,13,76.4705882352941,1.30769230769231
"2021-2022",1.06666666666667,14,82.3529411764706,1.21428571428571
"2017-2018",0.977777777777778,15,88.2352941176471,1.13333333333333
"2016-2017",0.777777777777778,16,94.1176470588235,1.0625
