Years,x4_hr,rank,Probability,Frequency
"2015-2016",7.325,1,6.25,16
"2018-2019",4.025,2,12.5,8
"2013-2014",3.9,3,18.75,5.33333333333333
"2010-2011",3.7,4,25,4
"2019-2020",3.65,5,31.25,3.2
"2009-2010",3.325,6,37.5,2.66666666666667
"2017-2018",3.275,7,43.75,2.28571428571429
"2021-2022",2.825,8,50,2
"2014-2015",2.225,9,56.25,1.77777777777778
"2007-2008",2.025,10,62.5,1.6
"2020-2021",1.975,11,68.75,1.45454545454545
"2012-2013",1.925,12,75,1.33333333333333
"2011-2012",1.75,13,81.25,1.23076923076923
"2008-2009",1.7,14,87.5,1.14285714285714
"2016-2017",1.5,15,93.75,1.06666666666667
