Years,x4_hr,rank,Probability,Frequency
"2003-2004",34.25,1,11.1111111111111,9
"2002-2003",12.275,2,22.2222222222222,4.5
"2009-2010",11.1,3,33.3333333333333,3
"2006-2007",9.125,4,44.4444444444444,2.25
"2008-2009",8.775,5,55.5555555555556,1.8
"2007-2008",8.45,6,66.6666666666667,1.5
"2011-2012",7.325,7,77.7777777777778,1.28571428571429
"2005-2006",5.775,8,88.8888888888889,1.125
