Years,x2_hr,rank,Probability,Frequency
"2013-2014",17.35,1,4.16666666666667,24
"2009-2010",17.15,2,8.33333333333333,12
"2014-2015",14.7,3,12.5,8
"2010-2011",14.35,4,16.6666666666667,6
"2000-2001",14.2,5,20.8333333333333,4.8
"2017-2018",13.95,6,25,4
"2018-2019",13.8,7,29.1666666666667,3.42857142857143
"2020-2021",12.9,8,33.3333333333333,3
"2007-2008",11.35,9,37.5,2.66666666666667
"2005-2006",11.25,10,41.6666666666667,2.4
"1999-2000",10.35,11,45.8333333333333,2.18181818181818
"2001-2002",10,12,50,2
"2004-2005",9.85,13,54.1666666666667,1.84615384615385
"2006-2007",9.85,14,58.3333333333333,1.71428571428571
"2019-2020",9.75,15,62.5,1.6
"2012-2013",8.6,16,66.6666666666667,1.5
"2021-2022",8.6,17,70.8333333333333,1.41176470588235
"2008-2009",8.5,18,75,1.33333333333333
"2015-2016",8.5,19,79.1666666666667,1.26315789473684
"2011-2012",7.75,20,83.3333333333333,1.2
"2002-2003",6.25,21,87.5,1.14285714285714
"2016-2017",6.15,22,91.6666666666667,1.09090909090909
"2003-2004",5.9,23,95.8333333333333,1.04347826086957
