Years,x30_min,rank,Probability,Frequency
"2008-2009",43.4,1,6.25,16
"2009-2010",32,2,12.5,8
"2013-2014",28.6,3,18.75,5.33333333333333
"2012-2013",28,4,25,4
"2020-2021",27.8,5,31.25,3.2
"2018-2019",21.8,6,37.5,2.66666666666667
"2016-2017",19.6,7,43.75,2.28571428571429
"2007-2008",18.6,8,50,2
"2021-2022",17.2,9,56.25,1.77777777777778
"2017-2018",16.6,10,62.5,1.6
"2019-2020",15.8,11,68.75,1.45454545454545
"2015-2016",14.8,12,75,1.33333333333333
"2011-2012",13,13,81.25,1.23076923076923
"2010-2011",12.6,14,87.5,1.14285714285714
"2014-2015",11.8,15,93.75,1.06666666666667
