Years,x3_5_hr,rank,Probability,Frequency
"2005-2006",9.65714285714286,1,5.55555555555556,18
"2009-2010",9.54285714285714,2,11.1111111111111,9
"2008-2009",9.37142857142857,3,16.6666666666667,6
"2017-2018",8.31428571428571,4,22.2222222222222,4.5
"2006-2007",7.97142857142857,5,27.7777777777778,3.6
"2014-2015",7.97142857142857,6,33.3333333333333,3
"2019-2020",7.82857142857143,7,38.8888888888889,2.57142857142857
"2016-2017",7.25714285714286,8,44.4444444444444,2.25
"2018-2019",7.2,9,50,2
"2020-2021",7.17142857142857,10,55.5555555555556,1.8
"2012-2013",6.71428571428571,11,61.1111111111111,1.63636363636364
"2015-2016",6.42857142857143,12,66.6666666666667,1.5
"2013-2014",6.05714285714286,13,72.2222222222222,1.38461538461538
"2007-2008",6.02857142857143,14,77.7777777777778,1.28571428571429
"2021-2022",5.74285714285714,15,83.3333333333333,1.2
"2011-2012",5.65714285714286,16,88.8888888888889,1.125
"2010-2011",5,17,94.4444444444444,1.05882352941176
