Years,x40_min,rank,Probability,Frequency
"2008-2009",87.75,1,4.54545454545455,22
"2012-2013",52.95,2,9.09090909090909,11
"2017-2018",47.85,3,13.6363636363636,7.33333333333333
"2021-2022",42.6,4,18.1818181818182,5.5
"2003-2004",41.85,5,22.7272727272727,4.4
"2019-2020",37.65,6,27.2727272727273,3.66666666666667
"2020-2021",36.3,7,31.8181818181818,3.14285714285714
"2002-2003",34.95,8,36.3636363636364,2.75
"2001-2002",32.55,9,40.9090909090909,2.44444444444444
"2011-2012",31.8,10,45.4545454545455,2.2
"2014-2015",31.5,11,50,2
"2007-2008",29.25,12,54.5454545454545,1.83333333333333
"2016-2017",28.35,13,59.0909090909091,1.69230769230769
"2015-2016",27.75,14,63.6363636363636,1.57142857142857
"2004-2005",27.6,15,68.1818181818182,1.46666666666667
"2018-2019",24.15,16,72.7272727272727,1.375
"2010-2011",23.25,17,77.2727272727273,1.29411764705882
"2009-2010",21.6,18,81.8181818181818,1.22222222222222
"2013-2014",20.25,19,86.3636363636364,1.15789473684211
"2006-2007",19.2,20,90.9090909090909,1.1
"2005-2006",18.15,21,95.4545454545455,1.04761904761905
