Years,x6_hr,rank,Probability,Frequency
"1997-1998",30,1,7.69230769230769,13
"2000-2001",8.208333333,2,15.3846153846154,6.5
"2002-2003",6.133333333,3,23.0769230769231,4.33333333333333
"2001-2002",4.783333333,4,30.7692307692308,3.25
"1994-1995",4.083333333,5,38.4615384615385,2.6
"2005-2006",4.066666667,6,46.1538461538462,2.16666666666667
"2003-2004",3.216666667,7,53.8461538461538,1.85714285714286
"1996-1997",3.125,8,61.5384615384615,1.625
"1999-2000",2.958333333,9,69.2307692307692,1.44444444444444
"2004-2005",2.916666667,10,76.9230769230769,1.3
"1995-1996",2.708333333,11,84.6153846153846,1.18181818181818
"1998-1999",2.583333333,12,92.3076923076923,1.08333333333333
