Years,x2_5_hr,rank,Probability,Frequency
"2013-2014",11.68,1,6.25,16
"2018-2019",8.44,2,12.5,8
"2021-2022",8.2,3,18.75,5.33333333333333
"2020-2021",7.24,4,25,4
"2012-2013",6.52,5,31.25,3.2
"2015-2016",6.44,6,37.5,2.66666666666667
"2017-2018",6.4,7,43.75,2.28571428571429
"2011-2012",6.08,8,50,2
"2016-2017",6,9,56.25,1.77777777777778
"2008-2009",5.92,10,62.5,1.6
"2019-2020",5.72,11,68.75,1.45454545454545
"2009-2010",5.68,12,75,1.33333333333333
"2014-2015",5.44,13,81.25,1.23076923076923
"2010-2011",5.16,14,87.5,1.14285714285714
"2007-2008",4.72,15,93.75,1.06666666666667
