Years,x20_min,rank,Probability,Frequency
"2008-2009",43.5,1,6.25,16
"2018-2019",42.9,2,12.5,8
"2017-2018",42.3,3,18.75,5.33333333333333
"2019-2020",38.7,4,25,4
"2020-2021",36.3,5,31.25,3.2
"2007-2008",35.4,6,37.5,2.66666666666667
"2013-2014",33.3,7,43.75,2.28571428571429
"2012-2013",27.6,8,50,2
"2015-2016",27,9,56.25,1.77777777777778
"2009-2010",26.4,10,62.5,1.6
"2010-2011",23.1,11,68.75,1.45454545454545
"2016-2017",20.1,12,75,1.33333333333333
"2014-2015",19.8,13,81.25,1.23076923076923
"2011-2012",19.2,14,87.5,1.14285714285714
"2021-2022",18,15,93.75,1.06666666666667
