Years,x10_min,rank,Probability,Frequency
"2009-2010",60,1,5.55555555555556,18
"2015-2016",48,2,11.1111111111111,9
"2017-2018",46.2,3,16.6666666666667,6
"2008-2009",43.2,4,22.2222222222222,4.5
"2019-2020",42.6,5,27.7777777777778,3.6
"2014-2015",40.8,6,33.3333333333333,3
"2020-2021",38.4,7,38.8888888888889,2.57142857142857
"2018-2019",36,8,44.4444444444444,2.25
"2006-2007",33.6,9,50,2
"2011-2012",33,10,55.5555555555556,1.8
"2005-2006",32.4,11,61.1111111111111,1.63636363636364
"2021-2022",28.8,12,66.6666666666667,1.5
"2013-2014",28.2,13,72.2222222222222,1.38461538461538
"2010-2011",27.6,14,77.7777777777778,1.28571428571429
"2012-2013",25.8,15,83.3333333333333,1.2
"2016-2017",25.8,16,88.8888888888889,1.125
"2007-2008",19.2,17,94.4444444444444,1.05882352941176
