Years,x1_5_hr,rank,Probability,Frequency
"2011-2012",15.4,1,9.09090909090909,11
"2016-2017",13.5333333333333,2,18.1818181818182,5.5
"2010-2011",12.7333333333333,3,27.2727272727273,3.66666666666667
"2013-2014",12.5333333333333,4,36.3636363636364,2.75
"2012-2013",12.0666666666667,5,45.4545454545455,2.2
"2015-2016",11,6,54.5454545454545,1.83333333333333
"2018-2019",10.6,7,63.6363636363636,1.57142857142857
"2017-2018",8.06666666666667,8,72.7272727272727,1.375
"2014-2015",7.8,9,81.8181818181818,1.22222222222222
"2019-2020",6.2,10,90.9090909090909,1.1
