Years,x40_min,rank,Probability,Frequency
"2017-2018",29.85,1,6.25,16
"2019-2020",28.65,2,12.5,8
"2018-2019",27.45,3,18.75,5.33333333333333
"2008-2009",25.95,4,25,4
"2020-2021",24.75,5,31.25,3.2
"2013-2014",22.8,6,37.5,2.66666666666667
"2007-2008",22.65,7,43.75,2.28571428571429
"2012-2013",21.6,8,50,2
"2009-2010",19.95,9,56.25,1.77777777777778
"2010-2011",19.95,10,62.5,1.6
"2015-2016",17.7,11,68.75,1.45454545454545
"2011-2012",16.35,12,75,1.33333333333333
"2021-2022",12.75,13,81.25,1.23076923076923
"2016-2017",12.15,14,87.5,1.14285714285714
"2014-2015",10.8,15,93.75,1.06666666666667
