Years,x4_5_hr,rank,Probability,Frequency
"2014-2015",5.28888888888889,1,8.33333333333333,12
"2017-2018",5.08888888888889,2,16.6666666666667,6
"2019-2020",5.08888888888889,3,25,4
"2021-2022",5.08888888888889,4,33.3333333333333,3
"2013-2014",4.8,5,41.6666666666667,2.4
"2020-2021",4.73333333333333,6,50,2
"2012-2013",4.4,7,58.3333333333333,1.71428571428571
"2011-2012",4.08888888888889,8,66.6666666666667,1.5
"2018-2019",3.95555555555555,9,75,1.33333333333333
"2015-2016",3.71111111111111,10,83.3333333333333,1.2
"2016-2017",3.62222222222222,11,91.6666666666667,1.09090909090909
