Years,x40_min,rank,Probability,Frequency
"2008-2009",32.55,1,6.25,16
"2009-2010",25.05,2,12.5,8
"2013-2014",24.9,3,18.75,5.33333333333333
"2012-2013",21,4,25,4
"2020-2021",21,5,31.25,3.2
"2018-2019",18,6,37.5,2.66666666666667
"2007-2008",15.75,7,43.75,2.28571428571429
"2017-2018",15.15,8,50,2
"2016-2017",14.7,9,56.25,1.77777777777778
"2021-2022",14.25,10,62.5,1.6
"2019-2020",13.05,11,68.75,1.45454545454545
"2010-2011",11.25,12,75,1.33333333333333
"2015-2016",11.25,13,81.25,1.23076923076923
"2011-2012",9.75,14,87.5,1.14285714285714
"2014-2015",9.75,15,93.75,1.06666666666667
